title,budget,revenue,roi
What's Your Number?,20000000,30426096,1.52
U2 3D,15000000,22730842,1.52
Waterworld,175000000,264218220,1.51
The Mortal Instruments: City of Bones,60000000,90565421,1.51
Ninja Assassin,40000000,60462347,1.51
Marie Antoinette,40000000,60474340,1.51
The Taking of Pelham 1 2 3,100000000,150166126,1.5
Hostage,52000000,77944725,1.5
Hellboy,66000000,99318987,1.5
Planet 51,70000000,104945765,1.5
The Ghost and the Darkness,50000000,75000000,1.5
3 Strikes,6000000,9000000,1.5
Topaz,4000000,6000000,1.5
Message in a Bottle,80000000,118880016,1.49
Glory,18000000,26828365,1.49
Clockstoppers,26000000,38793283,1.49
The One,49000000,72700000,1.48
The Hurricane,50000000,73956241,1.48
Hot Pursuit,35000000,51680201,1.48
Don't Be Afraid of the Dark,25000000,36993168,1.48
一個好人,12716953,18814720,1.48
Nutty Professor II: The Klumps,84000000,123307945,1.47
Did You Hear About the Morgans?,58000000,85280250,1.47
Morning Glory,40000000,58785180,1.47
Fright Night,17000000,24922237,1.47
Монгол,18000000,26527510,1.47
Nebraska,12000000,17654912,1.47
S.W.A.T.,80000000,116643346,1.46
State of Play,60000000,87784194,1.46
Dolphin Tale 2,36000000,52424533,1.46
The Wash,7000000,10229331,1.46
"For a Good Time, Call...",850000,1243961,1.46
Superman Returns,270000000,391081192,1.45
Battleship,209000000,303025485,1.45
Mars Attacks!,70000000,101371017,1.45
The Change-Up,52000000,75450437,1.45
30 Minutes or Less,28000000,40547440,1.45
Beauty Shop,25000000,36351350,1.45
Haywire,23000000,33372606,1.45
Force 10 from Navarone,5000000,7230000,1.45
The Sorcerer's Apprentice,150000000,215283742,1.44
The Lovely Bones,65000000,93525586,1.44
Swordfish,102000000,147080413,1.44
The Man from U.N.C.L.E.,75000000,108145109,1.44
The Host,44000000,63327201,1.44
Three Kings,75000000,108000000,1.44
Concussion,35000000,50363790,1.44
Max Keeble's Big Move,12000000,17292381,1.44
Watchmen,130000000,185258983,1.43
The Huntsman: Winter's War,115000000,164602163,1.43
Enemy at the Gates,68000000,96976270,1.43
Barnyard,51000000,72779000,1.43
Run All Night,50000000,71561644,1.43
A Lot Like Love,30000000,42886719,1.43
La migliore offerta,13500000,19255873,1.43
RockNRolla,18000000,25739015,1.43
Stuart Little 2,120000000,169956806,1.42
Snake Eyes,73000000,103891409,1.42
Malcolm X,34000000,48169908,1.42
Highlander III: The Sorcerer,26000000,36800000,1.42
Harry Brown,7300000,10329747,1.42
Master and Commander: The Far Side of the World,150000000,212011111,1.41
The Running Man,27000000,38122105,1.41
Hocus Pocus,28000000,39514713,1.41
Love the Coopers,17000000,24000000,1.41
And So It Goes,18000000,25312387,1.41
Vampire in Brooklyn,14000000,19800000,1.41
Le scaphandre et le papillon,14000000,19777647,1.41
Fantastic Four,120000000,167977596,1.4
Curious George,50000000,69834815,1.4
The Sitter,25000000,34942188,1.4
Flicka,15000000,21000000,1.4
Captive,2000000,2801508,1.4
13 Hours: The Secret Soldiers of Benghazi,50000000,69411370,1.39
The Adventures of Sharkboy and Lavagirl,50000000,69425966,1.39
Pay It Forward,40000000,55707411,1.39
Breakdown,36000000,50159144,1.39
Love & Basketball,20000000,27728118,1.39
"4 luni, 3 săptămîni și 2 zile",852510,1185783,1.39
The Spanish Prisoner,10000000,13835130,1.38
The Long Kiss Goodnight,65000000,89456761,1.38
Extremely Loud & Incredibly Close,40000000,55247881,1.38
Gridiron Gang,30000000,41480851,1.38
The Best of Me,26000000,35926213,1.38
Lakeview Terrace,20000000,27640028,1.38
Catch-22,18000000,24911670,1.38
Admission,13000000,18000000,1.38
White House Down,150000000,205366737,1.37
Astérix aux Jeux Olympiques,97250400,132900000,1.37
Small Soldiers,40000000,54682547,1.37
Keanu,15000000,20566327,1.37
Country Strong,15000000,20529194,1.37
Kama Sutra - A Tale of Love,3000000,4109095,1.37
The Green Inferno,5000000,6833445,1.37
Enough,38000000,51801187,1.36
Just My Luck,28000000,38159905,1.36
From Dusk Till Dawn,19000000,25836616,1.36
Khumba,20000000,27187375,1.36
Extract,8000000,10848783,1.36
Jarhead,72000000,96889998,1.35
Elizabeth: The Golden Age,55000000,74237563,1.35
Poltergeist III,10500000,14144000,1.35
The Ballad of Cable Hogue,3716946,5000000,1.35
The Ghost Writer,45000000,60222298,1.34
Wimbledon,31000000,41512007,1.34
Safe,30000000,40346186,1.34
Mulholland Drive,15000000,20117339,1.34
The Tailor of Panama,21000000,28008462,1.33
The Boondock Saints II: All Saints Day,8000000,10629321,1.33
Willy Wonka & the Chocolate Factory,3000000,4000000,1.33
Robot & Frank,2500000,3325038,1.33
Cats & Dogs 2 : The Revenge of Kitty Galore,85000000,112483764,1.32
Elektra,43000000,56681566,1.32
Herbie Fully Loaded,50000000,66002004,1.32
Parker,35000000,46216641,1.32
An Ideal Husband,14000000,18535191,1.32
Wild Wild West,170000000,222104681,1.31
The BFG,140000000,183345589,1.31
Killers,75000000,98159963,1.31
Priest,60000000,78309131,1.31
The Thing,15000000,19629760,1.31
Magnolia,37000000,48451803,1.31
Going the Distance,32000000,42045846,1.31
Zodiac,65000000,84785914,1.3
The Sentinel,60000000,77920346,1.3
Queen of the Damned,35000000,45479110,1.3
The Wraith,2700000,3500000,1.3
Crazy/Beautiful,13000000,16929123,1.3
The Island,126000000,162949164,1.29
The Abyss,70000000,90000098,1.29
Aliens in the Attic,45000000,57881056,1.29
Boys and Girls,16000000,20627372,1.29
Seven Psychopaths,15000000,19422261,1.29
54,13000000,16757163,1.29
New Nightmare,14000000,18090181,1.29
Cloud Atlas,102000000,130482868,1.28
The Mechanic,40000000,51070807,1.28
Midnight Run,30000000,38413606,1.28
In the Valley of Elah,23000000,29541790,1.28
Raging Bull,18000000,23000000,1.28
Office Space,10000000,12827813,1.28
Choke,3000000,3830137,1.28
Point Blank,2500000,3200000,1.28
Point Break,105000000,133718711,1.27
3:10 to Yuma,55000000,70016220,1.27
I Don't Know How She Does It,24000000,30551495,1.27
Brother,12000000,15250000,1.27
Prom,8000000,10130000,1.27
Stargate: The Ark of Truth,7000000,8900000,1.27
From a Whisper to a Scream,1100000,1400000,1.27
Arthur et les Minimoys,86000000,107944236,1.26
Reds,32000000,40382659,1.26
Hardball,32000000,40222729,1.26
Dinner for Schmucks,69000000,86387857,1.25
Kicking & Screaming,45000000,56070433,1.25
Welcome Home Roscoe Jenkins,35000000,43650785,1.25
Zwartboek,21000000,26193068,1.25
Machete Kills,12000000,15008161,1.25
The Last Godfather,13400000,16700000,1.25
Dolphins and Whales: Tribes of the Ocean,6000000,7518876,1.25
Full Frontal,2000000,2506446,1.25
Ruby in Paradise,800000,1001437,1.25
The Core,60000000,74208267,1.24
The Kingdom,70000000,86658558,1.24
RED,58000000,71664962,1.24
Ladder 49,60000000,74541707,1.24
The Island of Dr. Moreau,40000000,49627779,1.24
The Railway Man,18000000,22309223,1.24
Cinderella Man,88000000,108539911,1.23
Deep Blue Sea,60000000,73648228,1.23
A Man Apart,36000000,44350926,1.23
Keeping the Faith,30000000,37036004,1.23
Left Behind,16000000,19682924,1.23
Snitch,35000000,42930462,1.23
Tears of the Sun,70000000,85632458,1.22
The Shaggy Dog,50000000,61112916,1.22
Righteous Kill,60000000,73174566,1.22
The Girl Next Door,25000000,30411183,1.22
Riding Giants,2600000,3166000,1.22
Larry Crowne,30000000,36160375,1.21
Let Me In,20000000,24145613,1.21
Trance,20000000,24261569,1.21
Crossover,5800000,7000000,1.21
Mean Creek,500000,603943,1.21
Seventh Son,95000000,114178613,1.2
The Manchurian Candidate,80000000,96105964,1.2
The Brothers Grimm,88000000,105316267,1.2
Chain Reaction,50000000,60209334,1.2
The International,50000000,60161391,1.2
Tin Cup,45000000,53854588,1.2
Donnie Brasco,35000000,41954997,1.2
A Good Year,35000000,42064105,1.2
Godsend,25000000,30114487,1.2
My Life in Ruins,17000000,20455276,1.2
I Think I Love My Wife,11000000,13196245,1.2
The Last Temptation of Christ,7000000,8373585,1.2
16 Blocks,55000000,65664721,1.19
Frailty,11000000,13110448,1.19
American History X,20000000,23875127,1.19
Trolljegeren,3500000,4159678,1.19
xXx: State of the Union,60000000,71073932,1.18
The Story of Us,50000000,58900031,1.18
Assault on Precinct 13,30000000,35294470,1.18
Dracula 2000,28000000,33000337,1.18
Blade Runner,28000000,33139618,1.18
W.,25100000,29506464,1.18
A Mighty Heart,16000000,18928871,1.18
The 6th Day,82000000,96085477,1.17
Random Hearts,64000000,74608570,1.17
Miss Potter,30000000,35078241,1.17
Self/less,26000000,30523226,1.17
Disturbing Behavior,15000000,17507368,1.17
Mine vaganti,7000000,8220215,1.17
The Train,5800000,6800000,1.17
Happy Feet Two,130000000,150406466,1.16
Get Rich or Die Tryin',40000000,46442528,1.16
Torque,40000000,46546197,1.16
Fantastic Mr. Fox,40000000,46471023,1.16
Take the Lead,30000000,34742066,1.16
Tora! Tora! Tora!,25485000,29548291,1.16
The Thirteenth Floor,16000000,18564088,1.16
Dazed and Confused,6900000,7993039,1.16
Let's Go to Prison,4000000,4630045,1.16
Starship Troopers,105000000,121214377,1.15
Tango & Cash,55000000,63408614,1.15
The Rainmaker,40000000,45916769,1.15
Blast from the Past,35000000,40263020,1.15
Alive,32000000,36733909,1.15
Draft Day,25000000,28831145,1.15
Armored,20000000,22942221,1.15
Steve Jobs,30000000,34441873,1.15
Poseidon,160000000,181674817,1.14
Ender's Game,110000000,125537191,1.14
The Haunting,80000000,91188905,1.14
Fantasia 2000,80000000,90874570,1.14
The Raven,26000000,29657751,1.14
Superman IV: The Quest for Peace,17000000,19300000,1.14
Firestarter,15000000,17080167,1.14
200 Cigarettes,6000000,6852450,1.14
"Happy, Texas",1700000,1943649,1.14
The Stepford Wives,90000000,102000000,1.13
Murder by Numbers,50000000,56714147,1.13
Unleashed,45000000,50871113,1.13
Rob Roy,28000000,31596911,1.13
The Shawshank Redemption,25000000,28341469,1.13
Labor Day,18000000,20275812,1.13
Shopgirl,10284523,11588205,1.13
Demonic,3000000,3387000,1.13
Star Trek: Nemesis,60000000,67312826,1.12
Joan of Arc,60000000,66976317,1.12
Zoolander 2,50000000,55969000,1.12
Grudge Match,40000000,44907260,1.12
Furry Vengeance,35000000,39340177,1.12
Dreamcatcher,68000000,75715436,1.11
Out of Time,50000000,55495563,1.11
Agent Cody Banks 2: Destination London,26000000,28818995,1.11
Ice Princess,25000000,27645491,1.11
The Box,30000000,33333531,1.11
Reign Over Me,20000000,22222308,1.11
The Marine,20000000,22165608,1.11
Whip It,15000000,16633035,1.11
Boiler Room,26000000,28780255,1.11
City Island,6000000,6670712,1.11
Green Lantern,200000000,219851172,1.1
Tomorrowland,190000000,209154322,1.1
The Chronicles of Riddick,105000000,115772733,1.1
Sucker Punch,82000000,89792502,1.1
Fair Game,22000000,24188922,1.1
The Ant Bully,50000000,55181129,1.1
Charlie St. Cloud,44000000,48190704,1.1
Man on a Ledge,42000000,46221189,1.1
Confessions of a Dangerous Mind,30000000,33013805,1.1
Carnage,25000000,27603069,1.1
Beerfest,17500000,19179969,1.1
Made,5000000,5476060,1.1
Tucker and Dale vs Evil,5000000,5476793,1.1
Airborne,2600000,2850263,1.1
John Carter,260000000,284139100,1.09
Hugo,170000000,185770160,1.09
The Incredible Hulk,150000000,163712074,1.09
"I, Frankenstein",65000000,71154592,1.09
Captain Corelli's Mandolin,57000000,62112895,1.09
Metegol,22000000,24000000,1.09
Alexander,155000000,167298192,1.08
Gods of Egypt,140000000,150680864,1.08
Hidalgo,100000000,108103450,1.08
Living Out Loud,12000000,12902790,1.08
Danny Collins,10000000,10835752,1.08
The Kid,65000000,69700000,1.07
Eastern Promises,51500000,55112356,1.07
Laws of Attraction,28000000,30016165,1.07
Case 39,27000000,29000000,1.07
Four Rooms,4000000,4300000,1.07
To Die For,20000000,21284514,1.06
ATL,20000000,21170563,1.06
Drop Dead Gorgeous,10000000,10571408,1.06
Fifty Shades of Black,20000000,21164799,1.06
C'era una volta il West,5000000,5321508,1.06
Jupiter Ascending,176000003,183987723,1.05
The Score,68000000,71069884,1.05
K-PAX,48000000,50315140,1.05
The Guilt Trip,40000000,41863726,1.05
Kiss Kiss Bang Bang,15000000,15785148,1.05
Ong Bak 2,8500000,8936663,1.05
Year One,60000000,62357900,1.04
Shanghai Noon,55000000,56932305,1.04
Aliens vs Predator: Requiem,40000000,41797066,1.04
Ultraviolet,30000000,31070211,1.04
Pride and Glory,30000000,31148328,1.04
The Man with the Iron Fists,15000000,15608545,1.04
Outside Providence,7000000,7292175,1.04
Incendies,6800000,7103838,1.04
Speed 2: Cruise Control,160000000,164508066,1.03
Transcendence,100000000,103039258,1.03
Babylon A.D.,70000000,72108608,1.03
Jersey Girl,35000000,36098382,1.03
Howard the Duck,37000000,37962774,1.03
House of Sand and Fog,16500000,16942795,1.03
Shadow of the Vampire,8000000,8279017,1.03
Rabbit Hole,5000000,5129058,1.03
Jawbreaker,3000000,3076820,1.03
After the Sunset,60000000,61347797,1.02
Walking Tall,56000000,57223890,1.02
From Paris with Love,52000000,52826594,1.02
The New World,30000000,30536013,1.02
Deuce Bigalow: European Gigolo,22000000,22400154,1.02
Basquiat,2962051,3011195,1.02
Jack the Giant Slayer,195000000,197687603,1.01
金陵十三釵,94000000,95311434,1.01
The Bad News Bears,35000000,35323292,1.01
Dark City,27000000,27200316,1.01
Appaloosa,20000000,20211394,1.01
Stoker,12000000,12077441,1.01
The Hunchback of Notre Dame,100000000,100138851,1.0
Where the Wild Things Are,100000000,100086793,1.0
The Watch,68000000,68267862,1.0
Absolute Power,50000000,50068310,1.0
Beautiful Creatures,60000000,60052138,1.0
Serenity,39000000,38869464,1.0
The 33,25000000,24902723,1.0
Win a Date with Tad Hamilton!,17000000,16980098,1.0
Wish I Was Here,5500000,5483299,1.0
Evan Almighty,175000000,173000000,0.99
Zathura: A Space Adventure,65000000,64321501,0.99
Raising Helen,50000000,49718611,0.99
Sex Drive,19000000,18755936,0.99
Raise Your Voice,15000000,14867514,0.99
Exorcist: The Beginning,80000000,78000586,0.98
The Black Dahlia,50000000,49111202,0.98
On Deadly Ground,50000000,49000000,0.98
True Romance,12500000,12281551,0.98
Bulworth,30000000,29202884,0.97
Alatriste,24000000,23321954,0.97
The Next Best Thing,25000000,24362772,0.97
Red Lights,14000000,13551174,0.97
90 Minutes in Heaven,5000000,4842699,0.97
The Dilemma,70000000,67112664,0.96
Inkheart,60000000,57490374,0.96
G.I. Jane,50000000,48169156,0.96
Faster,24000000,23081726,0.96
Center Stage,18000000,17200925,0.96
Drowning Mona,16000000,15427192,0.96
Seeking a Friend for the End of the World,10000000,9636289,0.96
Latter Days,850000,819939,0.96
Home on the Range,110000000,103951461,0.95
Green Zone,100000000,94882889,0.95
The Rundown,85000000,80916492,0.95
Quest for Camelot,40000000,38172500,0.95
The Age of Innocence,34000000,32255440,0.95
Stitches,100000,95000,0.95
In the Heart of the Sea,100000000,93820758,0.94
Ben-Hur,100000000,94061311,0.94
Bicentennial Man,100000000,93700000,0.94
Bad Company,70000000,65977295,0.94
Edge of Darkness,80000000,74901339,0.94
Bangkok Dangerous,45000000,42487390,0.94
15 Minutes,60000000,56359980,0.94
The Losers,25000000,23580000,0.94
Lars and the Real Girl,12000000,11293663,0.94
Happiness,3000000,2807390,0.94
Doom,60000000,55987321,0.93
Untraceable,35000000,32483410,0.93
Kingpin,27000000,25023434,0.93
Catch That Kid,18000000,16702864,0.93
Soul Plane,16000000,14822346,0.93
Space Battleship Yamato,12000000,11212294,0.93
Sahara,130000000,119269486,0.92
Collateral Damage,85000000,78382433,0.92
Children of Men,76000000,69959751,0.92
Analyze That,60000000,55003135,0.92
One for the Money,40000000,36893721,0.92
Goal!: The Dream Begins,30000000,27610873,0.92
Warrior,25000000,23057115,0.92
Ladyhawke,20000000,18432000,0.92
The Quiet American,30000000,27674124,0.92
Pompeii,130000000,117831631,0.91
Elizabethtown,57000000,52034889,0.91
The Doors,38000000,34416893,0.91
1941,35000000,31755742,0.91
The Incredible Burt Wonderstone,30000000,27437881,0.91
Simon Birch,20000000,18253415,0.91
Miss Julie,5500000,5000000,0.91
Bandits,75000000,67631903,0.9
Hanging Up,40000000,36037909,0.9
Frankenweenie,39000000,35287788,0.9
Rendition,27500000,24748670,0.9
The Negotiator,50000000,44547681,0.89
Into the Blue,50000000,44434439,0.89
Premium Rush,35000000,31083599,0.89
Don Juan DeMarco,25000000,22200000,0.89
School for Scoundrels,20000000,17807569,0.89
南京!南京!,12000000,10652498,0.89
College,7000000,6230276,0.89
The Aviator,116000000,102000000,0.88
Killer Elite,66000000,57777106,0.88
The Legend of Hercules,70000000,61279452,0.88
The Master,32000000,28258060,0.88
Ella Enchanted,31000000,27388767,0.88
The Wiz,24000000,21049053,0.88
Saving Silverman,22000000,19351569,0.88
Away We Go,17000000,14899417,0.88
A Scanner Darkly,8700000,7659918,0.88
Hot Tub Time Machine 2,14000000,12314651,0.88
Body Double,10000000,8801940,0.88
Galaxina,5500000,4865000,0.88
Dragonfly,60000000,52322400,0.87
Red Tails,58000000,50365377,0.87
Monte Carlo,20000000,17425000,0.87
A Guy Thing,20000000,17432163,0.87
Capitalism: A Love Story,20000000,17436509,0.87
25th Hour,15000000,13060843,0.87
Talk Radio,4000000,3468572,0.87
47 Ronin,175000000,150962475,0.86
Pan,150000000,128388320,0.86
Looney Tunes: Back in Action,80000000,68514844,0.86
Basic,50000000,42792561,0.86
Victor Frankenstein,40000000,34227298,0.86
He Got Game,25000000,21567853,0.86
The Road,32000000,27635305,0.86
12 Rounds,20000000,17280326,0.86
The Astronaut Farmer,13000000,11130889,0.86
Glengarry Glen Ross,12500000,10725228,0.86
We Need to Talk About Kevin,7000000,6038942,0.86
Charly,950000,814666,0.86
The Tale of Despereaux,60000000,50877145,0.85
Dark Water,30000000,25473093,0.85
Escape from L.A.,50000000,42277365,0.85
Last Holiday,45000000,38399961,0.85
The Producers,45000000,38058335,0.85
The Four Feathers,35000000,29882645,0.85
The Rage: Carrie 2,21000000,17762705,0.85
Death Sentence,20000000,16974459,0.85
Brigham City,1000000,852206,0.85
What Dreams May Come,85000000,71485043,0.84
Oliver Twist,50000000,42093706,0.84
Jack Ryan: Shadow Recruit,60000000,50549107,0.84
Meet Dave,60000000,50650079,0.84
Æon Flux,62000000,52304001,0.84
The Pledge,35000000,29400000,0.84
Original Sin,42000000,35402320,0.84
Swing Vote,21000000,17600000,0.84
The Cold Light of Day,20000000,16863583,0.84
Fortress,8000000,6739141,0.84
"The Book of Mormon Movie, Volume 1: The Journey",2000000,1672730,0.84
Deux frères,74500000,62172050,0.83
Sky Captain and the World of Tomorrow,70000000,57958696,0.83
That's My Boy,70000000,58058367,0.83
Gremlins 2: The New Batch,50000000,41482207,0.83
EuroTrip,25000000,20796847,0.83
Paparazzi,20000000,16605763,0.83
Battle of the Year,20000000,16549477,0.83
Mao's Last Dancer,25000000,20719451,0.83
Sydney White,16500000,13620075,0.83
Ali,107000000,87713825,0.82
Catwoman,100000000,82102379,0.82
Dredd,50000000,41037742,0.82
Funny People,75000000,61458982,0.82
Gamer,50000000,40828540,0.82
Fun Size,14000000,11417362,0.82
I Love You Phillip Morris,13000000,10652035,0.82
Bad Words,9500000,7800000,0.82
A Civil Action,70000000,56702901,0.81
Happily N'Ever After,47000000,38085778,0.81
Anywhere But Here,23000000,18653615,0.81
It's Kind of a Funny Story,8000000,6491240,0.81
Sea Rex 3D: Journey to a Prehistoric World,5000000,4074023,0.81
Bottle Shock,5000000,4040588,0.81
The Road to El Dorado,95000000,76432727,0.8
Bridget Jones: The Edge of Reason,50000000,40203020,0.8
Virtuosity,30000000,24048000,0.8
The Right Stuff,27000000,21500000,0.8
Joyeux Noël,22000000,17709155,0.8
Knockaround Guys,15000000,12000000,0.8
The Three Burials of Melquiades Estrada,15000000,12036149,0.8
Banlieue 13,12000000,9584131,0.8
For Greater Glory - The True Story of Cristiada,12000000,9622846,0.8
After.Life,4500000,3606395,0.8
The Pirate,3700000,2956000,0.8
Scott Pilgrim vs. the World,60000000,47664559,0.79
Rock of Ages,75000000,59418613,0.79
Almost Famous,60000000,47383689,0.79
Rent,40000000,31670620,0.79
Flipper,25530000,20080020,0.79
My Soul to Take,25000000,19829957,0.79
Blindness,25000000,19844979,0.79
The Glass House,30000000,23619609,0.79
Pulse,38000000,29907685,0.79
Fish Tank,3000000,2357852,0.79
Speed Racer,120000000,93945766,0.78
Treasure Planet,140000000,109578115,0.78
The Life of David Gale,50000000,38955598,0.78
The Young Victoria,35000000,27409889,0.78
Mandela: Long Walk to Freedom,35000000,27330000,0.78
Hearts in Atlantis,31000000,24185781,0.78
Mindhunters,27000000,21148829,0.78
Dragonslayer,18000000,14110013,0.78
The Lords of Salem,1500000,1165882,0.78
Babe: Pig in the City,90000000,69131860,0.77
Duplicity,78146652,60000000,0.77
Dream House,50000000,38502340,0.77
Dune,40000000,30925690,0.77
Reindeer Games,42000000,32168970,0.77
Flash Gordon,35000000,27107960,0.77
디워,70000000,53587404,0.77
The Greatest Story Ever Told,20000000,15473333,0.77
The Internship,58000000,44000000,0.76
Ronin,55000000,41610884,0.76
While We're Young,10000000,7587485,0.76
The Art of War,40000000,30199105,0.75
The Neverending Story,27000000,20158808,0.75
Faithful,13000000,9789900,0.75
Riding in Cars with Boys,48000000,35743308,0.74
The Deep End of the Ocean,38000000,28121100,0.74
Superhero Movie,35000000,25871834,0.74
Doomsday,30000000,22211426,0.74
Head Over Heels,14000000,10424470,0.74
L'Auberge espagnole,5300000,3897799,0.74
The Diary of a Teenage Girl,2000000,1477002,0.74
Flags of Our Fathers,90000000,65900249,0.73
The Boat That Rocked,50000000,36348784,0.73
Mr. 3000,30000000,21800302,0.73
The Jacket,29000000,21126225,0.73
Black Snake Moan,15000000,10903846,0.73
Simply Irresistible,6000000,4398989,0.73
Reign of Fire,60000000,43061982,0.72
The Flintstones in Viva Rock Vegas,83000000,59468275,0.72
Domestic Disturbance,75000000,54249294,0.72
Midnight in the Garden of Good and Evil,35000000,25105255,0.72
North Country,35000000,25224242,0.72
Shorts,40000000,28972508,0.72
Rescue Dawn,10000000,7177143,0.72
No End in Sight,2000000,1431623,0.72
Leatherheads,58000000,41299492,0.71
Aloha,37000000,26250020,0.71
해운대,16000000,11301649,0.71
Anomalisa,8000000,5659286,0.71
The Life Aquatic with Steve Zissou,50000000,34808403,0.7
Cirque du Freak: The Vampire's Assistant,40000000,28169671,0.7
Vanity Fair,23000000,16123851,0.7
Before I Go to Sleep,22000000,15447154,0.7
Out of the Furnace,22000000,15400000,0.7
Home Fries,15000000,10443316,0.7
The Joneses,10000000,7022728,0.7
Albert Nobbs,8000000,5634828,0.7
Mambo Italiano,4361898,3031801,0.7
Land of the Lost,100000000,68688831,0.69
Spanglish,80000000,55041367,0.69
Wanderlust,35000000,24159934,0.69
Fled,25000000,17193231,0.69
The Water Diviner,22500000,15520023,0.69
The Man Who Knew Too Little,20000000,13801755,0.69
My Stepmother is an Alien,20000000,13854000,0.69
Windtalkers,115000000,77628265,0.68
Mission to Mars,90000000,60874615,0.68
Hollywood Homicide,75000000,51142659,0.68
Astro Boy,65000000,44091067,0.68
The Musketeer,40000000,27053815,0.68
Punch-Drunk Love,25000000,17000000,0.68
Muppets from Space,24000000,16290976,0.68
La grande bellezza,12400000,8371085,0.68
All Is Lost,9000000,6108720,0.68
Nine,80000000,53825515,0.67
The Insider,90000000,60289912,0.67
We Are Marshall,65000000,43545364,0.67
The Love Guru,62000000,41819064,0.67
Alex Cross,45000000,30353232,0.67
One Night with the King,20000000,13391174,0.67
Blow Out,18000000,12000000,0.67
The Other Side of Heaven,7000000,4720371,0.67
Around the World in 80 Days,110000000,72178895,0.66
Whatever It Takes,15000000,9902115,0.66
The Finest Hours,80000000,52099090,0.65
The Spirit,60000000,39031337,0.65
The Whole Ten Yards,40000000,26155781,0.65
Detroit Rock City,6500000,4217115,0.65
Ernest et Célestine,12516654,8109160,0.65
The Sweet Hereafter,5000000,3263585,0.65
Gods and Monsters,10000000,6451628,0.65
Tusk,2800000,1826705,0.65
Sunshine,50000000,32017803,0.64
The Replacement Killers,30000000,19204929,0.64
How to Lose Friends & Alienate People,27000000,17286299,0.64
Green Room,5000000,3220371,0.64
Pandorum,33000000,20645327,0.63
Little Black Book,35000000,22034832,0.63
Triple 9,20000000,12639297,0.63
Highlander: Endgame,25000000,15843608,0.63
Never Let Me Go,15000000,9455232,0.63
Final Fantasy: The Spirits Within,137000000,85131830,0.62
Practical Magic,75000000,46683377,0.62
The Hunted,55000000,34234008,0.62
Stuck on You,55000000,33828318,0.62
The Infiltrator,25000000,15436808,0.62
Big Miracle,40000000,24719215,0.62
The Big Wedding,35000000,21819348,0.62
An Unfinished Life,30000000,18618284,0.62
The Greatest Game Ever Played,25000000,15431177,0.62
The Conspirator,25000000,15478800,0.62
I Still Know What You Did Last Summer,65000000,40002112,0.62
The Little Vampire,22000000,13555988,0.62
The Weather Man,20000000,12482775,0.62
Undisputed,20000000,12398628,0.62
Dark Blue,15000000,9237470,0.62
Woo,13000000,8026971,0.62
Out Cold,24000000,14782676,0.62
Take Shelter,5000000,3099314,0.62
Fiza,1000000,623791,0.62
Sin City: A Dame to Kill For,65000000,39407616,0.61
Assassins,50000000,30303072,0.61
Renaissance Man,40000000,24332324,0.61
Krull,27000000,16519460,0.61
Antitrust,30000000,18195610,0.61
The Corruptor,25000000,15156200,0.61
MacGruber,10000000,6110000,0.61
Heavenly Creatures,5000000,3049135,0.61
You Kill Me,4000000,2426851,0.61
Stormbreaker,40000000,23937870,0.6
Obitaemyy Ostrov,36500000,21834845,0.6
Michael Collins,28000000,16900000,0.6
A Most Violent Year,20000000,12007070,0.6
Serial Mom,13000000,7820688,0.6
Money Train,60000000,35431113,0.59
55 Days at Peking,17000000,10000000,0.59
Club Dread,8500000,5001655,0.59
Joe,4000000,2365467,0.59
Driven,94000000,54744738,0.58
Man on the Moon,82000000,47434430,0.58
Drive Angry,50000000,28931401,0.58
The Quick and the Dead,32000000,18552460,0.58
Repo Men,32000000,18409891,0.58
Serving Sara,29000000,16930185,0.58
Pride and Prejudice and Zombies,28000000,16374328,0.58
Fear and Loathing in Las Vegas,18500000,10680275,0.58
Getaway,18000000,10501938,0.58
Summer Catch,34000000,19693891,0.58
The Rocker,15000000,8762890,0.58
Stealth,135000000,76932943,0.57
My Favorite Martian,65000000,36850101,0.57
The Relic,60000000,33956608,0.57
Lord of War,42000000,24127895,0.57
キャプテンハーロック,30000000,17137302,0.57
Connie and Carla,20000000,11341016,0.57
The Apparition,17000000,9627492,0.57
Centurion,12000000,6814789,0.57
Little Children,26000000,14821658,0.57
The Ladies Man,24000000,13700000,0.57
Men with Brooms,7500000,4245870,0.57
Lady in the Water,75000000,42285169,0.56
Agora,70000000,39041505,0.56
City By The Sea,40000000,22433915,0.56
Angel Eyes,53000000,29700000,0.56
Valiant,35000000,19478106,0.56
88 Minutes,30000000,16930884,0.56
Le peuple migrateur,35866397,20217080,0.56
Disaster Movie,25000000,14109284,0.56
Inherent Vice,20000000,11110975,0.56
Running Scared,17000000,9500000,0.56
Chloe,15000000,8459458,0.56
Running with Scissors,12000000,6754898,0.56
Basic Instinct 2,70000000,38629478,0.55
A Thousand Words,40000000,22044277,0.55
Cursed,35000000,19294901,0.55
Sorcerer,22000000,12000000,0.55
Only the Strong,6000000,3283371,0.55
Lords of Dogtown,25000000,13411957,0.54
Promised Land,15000000,8138788,0.54
The Soloist,60000000,31720158,0.53
Deconstructing Harry,20000000,10686841,0.53
Funny Games,15000000,7938872,0.53
The Red Violin,18000000,9495408,0.53
Igby Goes Down,9000000,4777465,0.53
The Majestic,72000000,37317558,0.52
Blood Work,50000000,26199517,0.52
Your Highness,49900000,26121638,0.52
