title,budget,revenue,roi
Network,3800000,23689877,6.23
Waiting...,3000000,18637690,6.21
Saw VI,11000000,68233629,6.2
Moonraker,34000000,210308099,6.19
Ride Along,25000000,153997819,6.16
Super Troopers,3000000,18492362,6.16
The Da Vinci Code,125000000,767820459,6.14
Shrek 2,150000000,919838758,6.13
Love Actually,40000000,244931766,6.12
Back to the Future Part III,40000000,244527583,6.11
Chocolat,25000000,152500343,6.1
The Possession,14000000,85446075,6.1
Iron Man 3,200000000,1215439994,6.08
Harry Potter and the Prisoner of Azkaban,130000000,789804554,6.08
A Few Good Men,40000000,243240178,6.08
The Ides of March,12500000,75993061,6.08
Wayne's World,20000000,121697323,6.08
GoldenEye,58000000,352194034,6.07
Superbad,20000000,121463226,6.07
Das Boot,14000000,85000000,6.07
Bruce Almighty,80000000,484572835,6.06
Gone Girl,61000000,369330363,6.05
Kill Bill: Vol. 1,30000000,180949000,6.03
The Hunger Games: Mockingjay - Part 1,125000000,752100229,6.02
Alvin and the Chipmunks,60000000,361366633,6.02
Sweet Home Alabama,30000000,180622424,6.02
Fast Times at Ridgemont High,4500000,27092880,6.02
Meet the Parents,55000000,330444045,6.01
もののけ姫,26500000,159375308,6.01
Mean Streets,500000,3000000,6.0
Harry Potter and the Goblet of Fire,150000000,895921036,5.97
Yeh Jawaani Hai Deewani,7700000,46000000,5.97
Hotel Transylvania 2,80000000,473226958,5.92
Jeepers Creepers,10000000,59217789,5.92
Before Sunset,2700000,15992615,5.92
Bananas,2000000,11833696,5.92
Spider-Man,139000000,821708551,5.91
Alvin and the Chipmunks: The Squeakquel,75000000,443140005,5.91
No Strings Attached,25000000,147780440,5.91
Room,6000000,35401758,5.9
The Man from Snowy River,3500000,20659423,5.9
Disturbia,20000000,117760134,5.89
Jackass 3D,20000000,117224271,5.86
Cat on a Hot Tin Roof,3000000,17570324,5.86
Sea of Love,19000000,110879513,5.84
The Martian,108000000,630161890,5.83
My Cousin Vinny,11000000,64088552,5.83
The Trouble with Harry,1200000,7000000,5.83
Murderball,300000,1750211,5.83
Sherlock Holmes,90000000,524028679,5.82
The Grand Budapest Hotel,30000000,174600318,5.82
Stomp the Yard,13000000,75511123,5.81
Big Momma's House,30000000,173959438,5.8
When Harry Met Sally...,16000000,92823546,5.8
Boys Don't Cry,2000000,11540607,5.77
Transformers: Dark of the Moon,195000000,1123746996,5.76
Casper,50000000,287928194,5.76
Halloween III: Season of the Witch,2500000,14400000,5.76
Commando,10000000,57500000,5.75
Evil Dead,17000000,97542952,5.74
Do the Right Thing,6500000,37295445,5.74
Birdman,18000000,103215094,5.73
Witness,12000000,68706993,5.73
Cinderella,95000000,543514353,5.72
Mission: Impossible,80000000,457696359,5.72
英雄,31000000,177394432,5.72
Jumping the Broom,6600000,37710610,5.71
Conquest of the Planet of the Apes,1700000,9700000,5.71
The Amityville Horror,19000000,108047131,5.69
Match Point,15000000,85306374,5.69
Signs,72000000,408247917,5.67
Just Married,18000000,101564935,5.64
Brooklyn,11000000,62076141,5.64
Crazy Heart,7000000,39462438,5.64
"20,000 Leagues Under the Sea",5000000,28200000,5.64
"Dude, Where’s My Car?",13000000,73180723,5.63
The Social Network,40000000,224920315,5.62
Woman in Gold,11000000,61619773,5.6
Transformers: Revenge of the Fallen,150000000,836297228,5.58
The Pursuit of Happyness,55000000,307077295,5.58
Margin Call,3500000,19504039,5.57
The Intern,35000000,194564672,5.56
Conan the Destroyer,18000000,100000000,5.56
Vals Im Bashir,2000000,11125849,5.56
Skyfall,200000000,1108561013,5.54
Star Trek IV: The Voyage Home,24000000,133000000,5.54
Toy Story 2,90000000,497366869,5.53
The Jungle Book,175000000,966550600,5.52
Blue Jasmine,18000000,99206215,5.51
Return to Never Land,20000000,109862682,5.49
My Week with Marilyn,6400000,35057696,5.48
Jerry Maguire,50000000,273552592,5.47
Superman,55000000,300218018,5.46
Predator,18000000,98235548,5.46
The Fast and the Furious,38000000,207283925,5.45
Next Friday,11000000,59827328,5.44
The Dark Knight,185000000,1004558444,5.43
Elf,32000000,173398518,5.42
Star Wars: Episode II - Attack of the Clones,120000000,649398328,5.41
Babel,25000000,135330182,5.41
Quartet,11000000,59520298,5.41
Movie 43,6000000,32438988,5.41
Dracula,40000000,215862692,5.4
The Ugly Truth,38000000,205298907,5.4
Rio,90000000,484635760,5.38
Escape from Alcatraz,8000000,43000000,5.38
Clerks II,5000000,26888376,5.38
Twister,92000000,494471524,5.37
Legends of the Fall,30000000,160638883,5.35
What Women Want,70000000,374111707,5.34
27 Dresses,30000000,160259319,5.34
Safety Not Guaranteed,750000,4007792,5.34
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,5.33
Toy Story 3,200000000,1066969703,5.33
Step Up 3D,30000000,159291809,5.31
Jason Goes to Hell: The Final Friday,3000000,15938065,5.31
Ocean's Eleven,85000000,450717150,5.3
Sinister 2,10000000,52882018,5.29
The Call,13000000,68572378,5.27
Hitch,70000000,368100420,5.26
Top Hat,609000,3202000,5.26
8 Mile,41000000,215000000,5.24
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9440272,5.24
A Beautiful Mind,60000000,313542341,5.23
P.S. I Love You,30000000,156835339,5.23
Rang De Basanti,2200000,11502151,5.23
Night at the Museum,110000000,574480841,5.22
Argo,44500000,232324128,5.22
Flight,31000000,161772375,5.22
Cape Fear,35000000,182300000,5.21
Transformers: Age of Extinction,210000000,1091405097,5.2
Terminator 2: Judgment Day,100000000,520000000,5.2
Super 8,50000000,260095987,5.2
Drive,15000000,78054825,5.2
Devil's Due,7000000,36433975,5.2
The Elephant Man,5000000,26010864,5.2
Battle for the Planet of the Apes,1700000,8844595,5.2
42nd Street,439000,2281000,5.2
Rise of the Planet of the Apes,93000000,482860185,5.19
Spy Kids 3-D: Game Over,38000000,197011982,5.18
Urban Legend,14000000,72527595,5.18
Whale Rider,8000000,41400000,5.17
Inception,160000000,825532764,5.16
Madagascar 3: Europe's Most Wanted,145000000,746921274,5.15
JFK,40000000,205405498,5.14
Alice in Wonderland,200000000,1025491110,5.13
シン・ゴジラ,15000000,77000000,5.13
The Smurfs,110000000,563749323,5.12
The DUFF,8500000,43528634,5.12
Spaced Invaders,3000000,15369573,5.12
Apollo 18,5000000,25562924,5.11
Maze Runner: The Scorch Trials,61000000,311256926,5.1
Crossroads,12000000,61141030,5.1
United 93,15000000,76286096,5.09
Life of Pi,120000000,609016565,5.08
